models,dataset,tier,offline_candidate_layers,online_k_scale,acc,baseline_acc,acc_increase_from_baseline,acc_gap_vs_high,tokens_used_mean,baseline_tokens_used_mean,token_ratio_vs_baseline,token_saving_pct,token_drop_rate_pct,probe_tokens_used_mean
Qwen2.5-3B-Instruct,aime_2024,high,0.6,0.75,0.2,0.05,0.15000000000000002,0.0,1264.45,2749.1,0.45995052926412283,0.5400494707358772,54.004947073587715,81.0
Qwen2.5-3B-Instruct,aime_2024,med,0.6,0.75,0.2,0.05,0.15000000000000002,0.0,1264.45,2749.1,0.45995052926412283,0.5400494707358772,54.004947073587715,81.0
Qwen2.5-3B-Instruct,amc23,high,0.4,0.25,0.566666667,0.433333333,0.13333333400000003,0.0,1432.0,1416.1,1.0112280206200128,-0.011228020620012824,-1.1228020620012824,127.0666667
Qwen2.5-3B-Instruct,amc23,med,0.2,0.25,0.433333333,0.433333333,0.0,-0.13333333400000003,875.7333333,1416.1,0.6184120706870985,0.38158792931290153,38.15879293129015,125.6
Qwen2.5-3B-Instruct,arc-c,high,0.2,0.75,0.842809365,0.809364548,0.033444817000000016,0.0,287.7892977,297.5451505,0.9672121935658973,0.03278780643410273,3.278780643410273,88.82274247
Qwen2.5-3B-Instruct,arc-c,med,0.8,1.0,0.759197324,0.809364548,-0.050167224000000066,-0.08361204100000008,265.458194,297.5451505,0.89216105036133,0.10783894963867002,10.783894963867002,98.48494983
Qwen2.5-3B-Instruct,math500,high,0.8,0.1,0.675,0.6575,0.01750000000000007,0.0,984.5725,872.1475,1.128905947675135,-0.12890594767513508,-12.890594767513509,127.005
Qwen2.5-3B-Instruct,math500,med,0.8,0.25,0.6575,0.6575,0.0,-0.01750000000000007,752.675,872.1475,0.8630134237614623,0.13698657623853772,13.698657623853771,127.0825
Qwen2.5-3B-Instruct,openbookqa,high,0.4,0.5,0.772,0.754,0.018000000000000016,0.0,259.844,263.31,0.9868368083247883,0.013163191675211738,1.3163191675211738,82.088
Qwen2.5-3B-Instruct,openbookqa,med,0.2,0.75,0.764,0.754,0.010000000000000009,-0.008000000000000007,256.718,263.31,0.9749648703049638,0.025035129695036185,2.5035129695036185,77.728
Qwen2.5-7B-Instruct,aime25,high,0.6,0.05,0.2,0.1,0.1,0.0,937.85,1045.3,0.8972065435760069,0.10279345642399307,10.279345642399306,126.0
Qwen2.5-7B-Instruct,aime25,med,0.4,1.0,0.05,0.1,-0.05,-0.15000000000000002,911.3,1045.3,0.8718071367071654,0.12819286329283464,12.819286329283464,127.0
Qwen2.5-7B-Instruct,aime_2024,high,0.2,0.2,0.25,0.2,0.04999999999999999,0.0,1096.55,1305.1,0.8402038157995556,0.1597961842004444,15.979618420044439,74.4
Qwen2.5-7B-Instruct,aime_2024,med,0.8,0.75,0.2,0.2,0.0,-0.04999999999999999,965.6,1305.1,0.7398666768829976,0.26013332311700244,26.013332311700243,73.8
Qwen2.5-7B-Instruct,amc23,high,0.2,0.4,0.666666667,0.533333333,0.13333333400000003,0.0,888.4,1853.266667,0.4793697614159916,0.5206302385840085,52.06302385840085,135.2
Qwen2.5-7B-Instruct,amc23,med,0.4,0.2,0.566666667,0.533333333,0.03333333400000005,-0.09999999999999998,797.6,1853.266667,0.43037519327487045,0.5696248067251295,56.96248067251295,121.0666667
Qwen2.5-7B-Instruct,arc-c,high,0.6,0.5,0.889632107,0.879598662,0.010033444999999919,0.0,305.5150502,304.8428094,1.0022052047129573,-0.002205204712957265,-0.2205204712957265,110.632107
Qwen2.5-7B-Instruct,arc-c,med,0.8,1.0,0.879598662,0.879598662,0.0,-0.010033444999999919,299.3511706,304.8428094,0.9819853425087873,0.01801465749121267,1.8014657491212671,109.2909699
Qwen2.5-7B-Instruct,math500,high,0.8,0.05,0.755,0.745,0.010000000000000009,0.0,778.9425,731.815,1.064398106078722,-0.06439810607872198,-6.439810607872198,123.2575
Qwen2.5-7B-Instruct,math500,med,0.6,0.4,0.7,0.745,-0.04500000000000004,-0.05500000000000005,622.55,731.815,0.8506931396596134,0.14930686034038665,14.930686034038665,122.6125
Qwen2.5-7B-Instruct,openbookqa,high,0.4,0.75,0.804,0.782,0.02200000000000002,0.0,254.764,279.75,0.9106845397676497,0.08931546023235026,8.931546023235025,94.926
Qwen2.5-7B-Instruct,openbookqa,med,0.6,1.0,0.768,0.782,-0.014000000000000012,-0.03600000000000003,239.712,279.75,0.8568793565683646,0.14312064343163544,14.312064343163545,68.33
