列标签target dataset, aime_2024,,aime25,,amc23,,arc-c,,math500,,openbookqa,
行标签memory dataset,求和项:acc,求和项:tokens_mean,求和项:acc,求和项:tokens_mean,求和项:acc,求和项:tokens_mean,求和项:acc,求和项:tokens_mean,求和项:acc,求和项:tokens_mean,求和项:acc,求和项:tokens_mean
aime_2024,0.65,8941.4,0.45,10360.85,0.866666667,5091.933333,0.762541806,599.5618729,0.8425,2841.0575,0.744,593.804
aime25,0.5,9550.45,0.6,9653.9,0.866666667,5145.466667,0.769230769,593.5585284,0.87,2833.935,0.736,583.226
amc23,0.6,9399.45,0.5,10022.25,0.933333333,4000.366667,0.789297659,595.3745819,0.8325,2710.385,0.76,600.958
arc-c,0.5,9491.75,0.4,11147.35,0.866666667,4980.366667,0.829431438,600.1404682,0.855,2717.475,0.742,584.074
math500,0.45,11290.5,0.55,10183.2,0.766666667,6164.166667,0.789297659,597.8762542,0.88,2638.785,0.748,539.142
openbookqa,0.65,8846.25,0.5,10029.5,0.866666667,5167.133333,0.779264214,599.4147157,0.855,2816.0125,0.768,591.802
